source,year,month,monthname,category,artikel,med_headline_woerter,avg_headline_woerter,med_beschreibung_woerter
ABC News (AU),2011,12,12-Dec,Welt,117,6.0,5.99,
ABC News (AU),2011,12,12-Dec,Wirtschaft,260,6.0,5.4,
ABC News (AU),2012,1,01-Jan,Gesellschaft,96,6.0,5.8,
ABC News (AU),2012,1,01-Jan,Gesundheit,118,6.0,5.91,
ABC News (AU),2012,1,01-Jan,Kriminalität,469,6.0,5.87,
ABC News (AU),2012,1,01-Jan,Politik,153,6.0,6.18,
ABC News (AU),2012,1,01-Jan,Sonstiges,4622,6.0,5.55,
ABC News (AU),2012,1,01-Jan,Sport,74,6.0,5.95,
ABC News (AU),2012,1,01-Jan,Umwelt,289,6.0,5.32,
ABC News (AU),2012,1,01-Jan,Welt,135,6.0,5.99,
ABC News (AU),2012,1,01-Jan,Wirtschaft,293,6.0,5.57,
ABC News (AU),2012,2,02-Feb,Gesellschaft,92,6.0,5.83,
ABC News (AU),2012,2,02-Feb,Gesundheit,110,6.0,5.94,
ABC News (AU),2012,2,02-Feb,Kriminalität,526,6.0,6.08,
ABC News (AU),2012,2,02-Feb,Politik,261,6.0,6.21,
ABC News (AU),2012,2,02-Feb,Sonstiges,4822,6.0,5.5,
ABC News (AU),2012,2,02-Feb,Sport,96,6.0,5.99,
ABC News (AU),2012,2,02-Feb,Umwelt,357,6.0,5.66,
ABC News (AU),2012,2,02-Feb,Welt,150,6.0,6.15,
ABC News (AU),2012,2,02-Feb,Wirtschaft,425,6.0,5.67,
ABC News (AU),2012,3,03-Mar,Gesellschaft,104,6.0,5.87,
ABC News (AU),2012,3,03-Mar,Gesundheit,146,6.0,5.72,
ABC News (AU),2012,3,03-Mar,Kriminalität,589,6.0,6.01,
ABC News (AU),2012,3,03-Mar,Politik,319,6.0,6.2,
ABC News (AU),2012,3,03-Mar,Sonstiges,5842,6.0,5.41,
ABC News (AU),2012,3,03-Mar,Sport,116,6.0,5.61,
ABC News (AU),2012,3,03-Mar,Umwelt,402,6.0,5.52,
ABC News (AU),2012,3,03-Mar,Welt,152,6.0,6.22,
ABC News (AU),2012,3,03-Mar,Wirtschaft,402,6.0,5.72,
ABC News (AU),2012,4,04-Apr,Gesellschaft,106,6.0,6.12,
ABC News (AU),2012,4,04-Apr,Gesundheit,124,6.0,6.01,
ABC News (AU),2012,4,04-Apr,Kriminalität,624,6.0,6.13,
ABC News (AU),2012,4,04-Apr,Politik,277,6.0,6.31,
ABC News (AU),2012,4,04-Apr,Sonstiges,5251,6.0,5.48,
ABC News (AU),2012,4,04-Apr,Sport,105,6.0,5.84,
ABC News (AU),2012,4,04-Apr,Umwelt,214,6.0,5.37,
ABC News (AU),2012,4,04-Apr,Welt,161,6.0,6.2,
ABC News (AU),2012,4,04-Apr,Wirtschaft,377,6.0,5.77,
ABC News (AU),2012,5,05-May,Gesellschaft,123,6.0,6.15,
ABC News (AU),2012,5,05-May,Gesundheit,212,6.0,6.19,
ABC News (AU),2012,5,05-May,Kriminalität,662,6.0,6.14,
ABC News (AU),2012,5,05-May,Politik,342,6.0,6.31,
ABC News (AU),2012,5,05-May,Sonstiges,5631,6.0,5.51,
ABC News (AU),2012,5,05-May,Sport,104,6.0,5.72,
ABC News (AU),2012,5,05-May,Umwelt,216,6.0,5.5,
ABC News (AU),2012,5,05-May,Welt,171,6.0,6.1,
ABC News (AU),2012,5,05-May,Wirtschaft,623,6.0,5.72,
ABC News (AU),2012,6,06-Jun,Gesellschaft,88,6.0,5.43,
ABC News (AU),2012,6,06-Jun,Gesundheit,105,6.0,5.91,
ABC News (AU),2012,6,06-Jun,Kriminalität,465,6.0,6.01,
ABC News (AU),2012,6,06-Jun,Politik,218,6.0,6.16,
ABC News (AU),2012,6,06-Jun,Sonstiges,4351,5.0,5.35,
ABC News (AU),2012,6,06-Jun,Sport,85,6.0,5.49,
ABC News (AU),2012,6,06-Jun,Umwelt,150,5.0,4.82,
ABC News (AU),2012,6,06-Jun,Welt,133,6.0,5.91,
ABC News (AU),2012,6,06-Jun,Wirtschaft,374,6.0,5.64,
ABC News (AU),2012,7,07-Jul,Gesellschaft,123,6.0,5.74,
ABC News (AU),2012,7,07-Jul,Gesundheit,142,6.0,5.89,
ABC News (AU),2012,7,07-Jul,Kriminalität,594,6.0,6.12,
ABC News (AU),2012,7,07-Jul,Politik,249,6.0,6.16,
ABC News (AU),2012,7,07-Jul,Sonstiges,4781,5.0,5.31,
ABC News (AU),2012,7,07-Jul,Sport,154,6.0,5.67,
ABC News (AU),2012,7,07-Jul,Umwelt,204,5.0,4.94,
ABC News (AU),2012,7,07-Jul,Welt,151,6.0,6.03,
ABC News (AU),2012,7,07-Jul,Wirtschaft,412,6.0,5.52,
ABC News (AU),2012,8,08-Aug,Gesellschaft,171,6.0,5.96,
ABC News (AU),2012,8,08-Aug,Gesundheit,181,6.0,5.96,
ABC News (AU),2012,8,08-Aug,Kriminalität,754,6.0,6.21,
ABC News (AU),2012,8,08-Aug,Politik,396,6.0,6.26,
ABC News (AU),2012,8,08-Aug,Sonstiges,6269,6.0,5.55,
ABC News (AU),2012,8,08-Aug,Sport,185,6.0,5.98,
ABC News (AU),2012,8,08-Aug,Umwelt,284,6.0,5.25,
ABC News (AU),2012,8,08-Aug,Welt,208,6.0,6.25,
ABC News (AU),2012,8,08-Aug,Wirtschaft,475,6.0,5.55,
ABC News (AU),2012,9,09-Sep,Gesellschaft,184,6.0,6.18,
ABC News (AU),2012,9,09-Sep,Gesundheit,133,6.0,5.97,
ABC News (AU),2012,9,09-Sep,Kriminalität,577,6.0,6.35,
ABC News (AU),2012,9,09-Sep,Politik,369,6.0,6.37,
ABC News (AU),2012,9,09-Sep,Sonstiges,5009,6.0,5.61,
ABC News (AU),2012,9,09-Sep,Sport,118,6.0,6.03,
ABC News (AU),2012,9,09-Sep,Umwelt,210,6.0,4.98,
ABC News (AU),2012,9,09-Sep,Welt,205,6.0,6.14,
ABC News (AU),2012,9,09-Sep,Wirtschaft,436,6.0,5.68,
ABC News (AU),2012,10,10-Oct,Gesellschaft,156,6.0,6.06,
ABC News (AU),2012,10,10-Oct,Gesundheit,195,6.0,6.19,
ABC News (AU),2012,10,10-Oct,Kriminalität,676,6.0,6.2,
ABC News (AU),2012,10,10-Oct,Politik,428,6.0,6.38,
ABC News (AU),2012,10,10-Oct,Sonstiges,6050,6.0,5.71,
ABC News (AU),2012,10,10-Oct,Sport,72,6.0,6.32,
ABC News (AU),2012,10,10-Oct,Umwelt,241,6.0,5.27,
ABC News (AU),2012,10,10-Oct,Welt,198,6.0,6.32,
ABC News (AU),2012,10,10-Oct,Wirtschaft,506,6.0,5.84,
ABC News (AU),2012,11,11-Nov,Gesellschaft,161,6.0,5.99,
ABC News (AU),2012,11,11-Nov,Gesundheit,175,6.0,6.17,
ABC News (AU),2012,11,11-Nov,Kriminalität,622,6.0,6.37,
ABC News (AU),2012,11,11-Nov,Politik,434,6.0,6.42,
ABC News (AU),2012,11,11-Nov,Sonstiges,5862,6.0,5.77,
ABC News (AU),2012,11,11-Nov,Sport,89,6.0,6.24,
ABC News (AU),2012,11,11-Nov,Umwelt,262,6.0,5.32,
ABC News (AU),2012,11,11-Nov,Welt,219,6.0,6.58,
ABC News (AU),2012,11,11-Nov,Wirtschaft,462,6.0,5.99,
ABC News (AU),2012,12,12-Dec,Gesellschaft,112,7.0,6.39,
ABC News (AU),2012,12,12-Dec,Gesundheit,181,7.0,6.33,
ABC News (AU),2012,12,12-Dec,Kriminalität,594,6.0,6.33,
ABC News (AU),2012,12,12-Dec,Politik,210,7.0,6.76,
ABC News (AU),2012,12,12-Dec,Sonstiges,4897,6.0,5.75,
ABC News (AU),2012,12,12-Dec,Sport,75,6.0,6.11,
ABC News (AU),2012,12,12-Dec,Umwelt,233,6.0,5.34,
ABC News (AU),2012,12,12-Dec,Welt,136,7.0,6.38,
ABC News (AU),2012,12,12-Dec,Wirtschaft,336,6.0,6.02,
ABC News (AU),2013,1,01-Jan,Gesellschaft,100,6.0,6.12,
ABC News (AU),2013,1,01-Jan,Gesundheit,150,7.0,6.36,
ABC News (AU),2013,1,01-Jan,Kriminalität,466,6.0,6.34,
ABC News (AU),2013,1,01-Jan,Politik,261,6.0,6.39,
ABC News (AU),2013,1,01-Jan,Sonstiges,5142,6.0,5.79,
ABC News (AU),2013,1,01-Jan,Sport,47,6.0,6.3,
ABC News (AU),2013,1,01-Jan,Umwelt,552,6.0,5.49,
ABC News (AU),2013,1,01-Jan,Welt,145,6.0,6.33,
ABC News (AU),2013,1,01-Jan,Wirtschaft,344,6.0,5.9,
ABC News (AU),2013,2,02-Feb,Gesellschaft,101,6.0,6.38,
ABC News (AU),2013,2,02-Feb,Gesundheit,160,7.0,6.62,
ABC News (AU),2013,2,02-Feb,Kriminalität,592,7.0,6.5,
ABC News (AU),2013,2,02-Feb,Politik,333,7.0,6.53,
ABC News (AU),2013,2,02-Feb,Sonstiges,5208,6.0,5.93,
ABC News (AU),2013,2,02-Feb,Sport,110,6.0,6.42,
ABC News (AU),2013,2,02-Feb,Umwelt,440,6.0,5.7,
ABC News (AU),2013,2,02-Feb,Welt,162,6.0,6.23,
ABC News (AU),2013,2,02-Feb,Wirtschaft,443,6.0,6.05,
ABC News (AU),2013,3,03-Mar,Gesellschaft,97,6.0,6.16,
ABC News (AU),2013,3,03-Mar,Gesundheit,170,7.0,6.5,
ABC News (AU),2013,3,03-Mar,Kriminalität,665,7.0,6.58,
ABC News (AU),2013,3,03-Mar,Politik,419,7.0,6.45,
ABC News (AU),2013,3,03-Mar,Sonstiges,5601,6.0,5.88,
ABC News (AU),2013,3,03-Mar,Sport,110,6.0,5.82,
ABC News (AU),2013,3,03-Mar,Umwelt,332,6.0,5.7,
ABC News (AU),2013,3,03-Mar,Welt,192,7.0,6.52,
ABC News (AU),2013,3,03-Mar,Wirtschaft,432,6.0,6.22,
ABC News (AU),2013,4,04-Apr,Gesellschaft,142,7.0,6.51,
ABC News (AU),2013,4,04-Apr,Gesundheit,194,6.0,6.26,
ABC News (AU),2013,4,04-Apr,Kriminalität,666,7.0,6.6,
ABC News (AU),2013,4,04-Apr,Politik,336,7.0,6.59,
ABC News (AU),2013,4,04-Apr,Sonstiges,5798,6.0,5.82,
ABC News (AU),2013,4,04-Apr,Sport,97,6.0,5.97,
ABC News (AU),2013,4,04-Apr,Umwelt,283,6.0,5.49,
ABC News (AU),2013,4,04-Apr,Welt,154,6.0,6.04,
ABC News (AU),2013,4,04-Apr,Wirtschaft,498,6.0,6.04,
ABC News (AU),2013,5,05-May,Gesellschaft,141,7.0,6.37,
ABC News (AU),2013,5,05-May,Gesundheit,203,6.0,6.16,
ABC News (AU),2013,5,05-May,Kriminalität,690,7.0,6.72,
ABC News (AU),2013,5,05-May,Politik,391,7.0,6.75,
ABC News (AU),2013,5,05-May,Sonstiges,5994,6.0,5.72,
ABC News (AU),2013,5,05-May,Sport,91,6.0,6.73,
ABC News (AU),2013,5,05-May,Umwelt,288,6.0,5.57,
ABC News (AU),2013,5,05-May,Welt,163,7.0,6.31,
ABC News (AU),2013,5,05-May,Wirtschaft,596,6.0,6.14,
ABC News (AU),2013,6,06-Jun,Gesellschaft,154,7.0,6.58,
ABC News (AU),2013,6,06-Jun,Gesundheit,189,7.0,6.96,
ABC News (AU),2013,6,06-Jun,Kriminalität,602,7.0,7.14,
ABC News (AU),2013,6,06-Jun,Politik,368,7.0,6.88,
ABC News (AU),2013,6,06-Jun,Sonstiges,5195,6.0,5.93,
ABC News (AU),2013,6,06-Jun,Sport,142,8.0,7.83,
ABC News (AU),2013,6,06-Jun,Umwelt,243,6.0,5.96,
ABC News (AU),2013,6,06-Jun,Welt,151,6.0,6.31,
ABC News (AU),2013,6,06-Jun,Wirtschaft,475,6.0,6.29,
ABC News (AU),2013,7,07-Jul,Gesellschaft,185,7.0,6.71,
ABC News (AU),2013,7,07-Jul,Gesundheit,188,7.0,6.95,
ABC News (AU),2013,7,07-Jul,Kriminalität,688,7.0,7.39,
ABC News (AU),2013,7,07-Jul,Politik,383,7.0,7.23,
ABC News (AU),2013,7,07-Jul,Sonstiges,5804,6.0,6.12,
ABC News (AU),2013,7,07-Jul,Sport,162,8.0,7.83,
ABC News (AU),2013,7,07-Jul,Umwelt,220,7.0,6.46,
ABC News (AU),2013,7,07-Jul,Welt,170,7.0,6.59,
ABC News (AU),2013,7,07-Jul,Wirtschaft,399,7.0,6.6,
ABC News (AU),2013,8,08-Aug,Gesellschaft,142,7.0,7.13,
ABC News (AU),2013,8,08-Aug,Gesundheit,163,7.0,7.07,
ABC News (AU),2013,8,08-Aug,Kriminalität,717,8.0,7.47,
ABC News (AU),2013,8,08-Aug,Politik,665,7.0,6.92,
ABC News (AU),2013,8,08-Aug,Sonstiges,5652,6.0,6.02,
ABC News (AU),2013,8,08-Aug,Sport,138,7.0,7.13,
ABC News (AU),2013,8,08-Aug,Umwelt,227,7.0,6.53,
ABC News (AU),2013,8,08-Aug,Welt,209,7.0,6.81,
ABC News (AU),2013,8,08-Aug,Wirtschaft,413,7.0,6.54,
ABC News (AU),2013,9,09-Sep,Gesellschaft,114,7.0,7.04,
ABC News (AU),2013,9,09-Sep,Gesundheit,117,7.0,6.84,
ABC News (AU),2013,9,09-Sep,Kriminalität,617,7.0,7.41,
ABC News (AU),2013,9,09-Sep,Politik,589,7.0,7.07,
ABC News (AU),2013,9,09-Sep,Sonstiges,4957,6.0,6.16,
ABC News (AU),2013,9,09-Sep,Sport,186,8.0,7.94,
ABC News (AU),2013,9,09-Sep,Umwelt,232,6.0,6.25,
ABC News (AU),2013,9,09-Sep,Welt,200,8.0,7.14,
ABC News (AU),2013,9,09-Sep,Wirtschaft,303,7.0,6.54,
ABC News (AU),2013,10,10-Oct,Gesellschaft,131,7.0,6.85,
ABC News (AU),2013,10,10-Oct,Gesundheit,146,7.0,6.88,
ABC News (AU),2013,10,10-Oct,Kriminalität,621,7.0,7.35,
ABC News (AU),2013,10,10-Oct,Politik,391,7.0,7.36,
ABC News (AU),2013,10,10-Oct,Sonstiges,5543,6.0,6.24,
ABC News (AU),2013,10,10-Oct,Sport,191,8.0,7.68,
ABC News (AU),2013,10,10-Oct,Umwelt,357,6.0,6.24,
ABC News (AU),2013,10,10-Oct,Welt,188,7.0,6.87,
ABC News (AU),2013,10,10-Oct,Wirtschaft,343,7.0,6.96,
ABC News (AU),2013,11,11-Nov,Gesellschaft,153,7.0,6.86,
ABC News (AU),2013,11,11-Nov,Gesundheit,176,7.0,6.88,
ABC News (AU),2013,11,11-Nov,Kriminalität,671,8.0,7.6,
ABC News (AU),2013,11,11-Nov,Politik,347,7.0,7.42,
ABC News (AU),2013,11,11-Nov,Sonstiges,5161,6.0,6.21,
ABC News (AU),2013,11,11-Nov,Sport,133,7.0,7.67,
ABC News (AU),2013,11,11-Nov,Umwelt,267,7.0,6.4,
ABC News (AU),2013,11,11-Nov,Welt,181,7.0,6.88,
ABC News (AU),2013,11,11-Nov,Wirtschaft,286,7.0,6.78,
ABC News (AU),2013,12,12-Dec,Gesellschaft,111,7.0,6.81,
ABC News (AU),2013,12,12-Dec,Gesundheit,129,7.0,6.63,
ABC News (AU),2013,12,12-Dec,Kriminalität,537,8.0,7.53,
ABC News (AU),2013,12,12-Dec,Politik,236,8.0,7.42,
ABC News (AU),2013,12,12-Dec,Sonstiges,4110,6.0,6.19,
ABC News (AU),2013,12,12-Dec,Sport,101,8.0,7.5,
ABC News (AU),2013,12,12-Dec,Umwelt,137,7.0,6.53,
ABC News (AU),2013,12,12-Dec,Welt,181,7.0,6.7,
ABC News (AU),2013,12,12-Dec,Wirtschaft,242,7.0,6.83,
ABC News (AU),2014,1,01-Jan,Gesellschaft,140,7.0,6.85,
ABC News (AU),2014,1,01-Jan,Gesundheit,107,7.0,6.98,
ABC News (AU),2014,1,01-Jan,Kriminalität,565,8.0,7.61,
ABC News (AU),2014,1,01-Jan,Politik,277,8.0,7.68,
ABC News (AU),2014,1,01-Jan,Sonstiges,4513,6.0,6.25,
ABC News (AU),2014,1,01-Jan,Sport,96,8.0,7.52,
ABC News (AU),2014,1,01-Jan,Umwelt,258,7.0,6.47,
ABC News (AU),2014,1,01-Jan,Welt,160,7.0,6.78,
ABC News (AU),2014,1,01-Jan,Wirtschaft,227,7.0,7.16,
ABC News (AU),2014,2,02-Feb,Gesellschaft,125,7.0,7.05,
ABC News (AU),2014,2,02-Feb,Gesundheit,148,7.0,6.55,
ABC News (AU),2014,2,02-Feb,Kriminalität,615,8.0,7.56,
ABC News (AU),2014,2,02-Feb,Politik,394,8.0,7.42,
ABC News (AU),2014,2,02-Feb,Sonstiges,4613,6.0,6.24,
ABC News (AU),2014,2,02-Feb,Sport,154,8.0,7.95,
ABC News (AU),2014,2,02-Feb,Umwelt,350,6.0,5.96,
ABC News (AU),2014,2,02-Feb,Welt,137,8.0,7.04,
ABC News (AU),2014,2,02-Feb,Wirtschaft,322,8.0,7.42,
ABC News (AU),2014,3,03-Mar,Gesellschaft,125,7.0,6.85,
ABC News (AU),2014,3,03-Mar,Gesundheit,139,7.0,6.94,
ABC News (AU),2014,3,03-Mar,Kriminalität,518,8.0,7.83,
ABC News (AU),2014,3,03-Mar,Politik,423,8.0,7.38,
ABC News (AU),2014,3,03-Mar,Sonstiges,4912,6.0,6.17,
ABC News (AU),2014,3,03-Mar,Sport,154,8.0,7.48,
ABC News (AU),2014,3,03-Mar,Umwelt,233,7.0,6.49,
ABC News (AU),2014,3,03-Mar,Welt,210,7.0,7.03,
ABC News (AU),2014,3,03-Mar,Wirtschaft,349,7.0,6.94,
ABC News (AU),2014,4,04-Apr,Gesellschaft,105,7.0,6.69,
ABC News (AU),2014,4,04-Apr,Gesundheit,118,7.0,6.77,
ABC News (AU),2014,4,04-Apr,Kriminalität,515,8.0,7.69,
ABC News (AU),2014,4,04-Apr,Politik,316,8.0,7.69,
ABC News (AU),2014,4,04-Apr,Sonstiges,4818,6.0,6.28,
ABC News (AU),2014,4,04-Apr,Sport,161,8.0,7.68,
ABC News (AU),2014,4,04-Apr,Umwelt,174,7.0,6.56,
ABC News (AU),2014,4,04-Apr,Welt,165,7.0,7.04,
ABC News (AU),2014,4,04-Apr,Wirtschaft,422,7.0,7.15,
ABC News (AU),2014,5,05-May,Gesellschaft,144,7.0,6.85,
ABC News (AU),2014,5,05-May,Gesundheit,188,8.0,7.45,
ABC News (AU),2014,5,05-May,Kriminalität,571,8.0,7.63,
ABC News (AU),2014,5,05-May,Politik,409,8.0,7.51,
ABC News (AU),2014,5,05-May,Sonstiges,4877,6.0,6.19,
ABC News (AU),2014,5,05-May,Sport,256,7.0,6.96,
ABC News (AU),2014,5,05-May,Umwelt,221,7.0,6.33,
ABC News (AU),2014,5,05-May,Welt,156,7.0,6.54,
ABC News (AU),2014,5,05-May,Wirtschaft,631,7.0,7.11,
ABC News (AU),2014,6,06-Jun,Gesellschaft,134,7.0,7.19,
ABC News (AU),2014,6,06-Jun,Gesundheit,154,7.0,7.12,
ABC News (AU),2014,6,06-Jun,Kriminalität,494,8.0,7.71,
ABC News (AU),2014,6,06-Jun,Politik,362,8.0,7.5,
ABC News (AU),2014,6,06-Jun,Sonstiges,4817,6.0,6.21,
ABC News (AU),2014,6,06-Jun,Sport,284,7.0,7.44,
ABC News (AU),2014,6,06-Jun,Umwelt,203,7.0,6.6,
ABC News (AU),2014,6,06-Jun,Welt,213,7.0,6.88,
ABC News (AU),2014,6,06-Jun,Wirtschaft,415,7.0,7.22,
ABC News (AU),2014,7,07-Jul,Gesellschaft,139,7.0,6.99,
ABC News (AU),2014,7,07-Jul,Gesundheit,178,7.0,6.92,
ABC News (AU),2014,7,07-Jul,Kriminalität,504,8.0,7.72,
ABC News (AU),2014,7,07-Jul,Politik,398,7.0,7.46,
ABC News (AU),2014,7,07-Jul,Sonstiges,5141,7.0,6.41,
ABC News (AU),2014,7,07-Jul,Sport,251,7.0,7.36,
ABC News (AU),2014,7,07-Jul,Umwelt,170,7.0,6.76,
ABC News (AU),2014,7,07-Jul,Welt,262,7.0,7.12,
ABC News (AU),2014,7,07-Jul,Wirtschaft,420,7.0,7.17,
ABC News (AU),2014,8,08-Aug,Gesellschaft,118,7.0,7.31,
ABC News (AU),2014,8,08-Aug,Gesundheit,142,8.0,7.82,
ABC News (AU),2014,8,08-Aug,Kriminalität,466,8.0,7.79,
ABC News (AU),2014,8,08-Aug,Politik,274,8.0,7.78,
ABC News (AU),2014,8,08-Aug,Sonstiges,4593,7.0,6.48,
ABC News (AU),2014,8,08-Aug,Sport,183,7.0,6.97,
ABC News (AU),2014,8,08-Aug,Umwelt,185,7.0,6.79,
ABC News (AU),2014,8,08-Aug,Welt,255,7.0,7.27,
ABC News (AU),2014,8,08-Aug,Wirtschaft,346,8.0,7.42,
ABC News (AU),2014,9,09-Sep,Gesellschaft,138,7.0,7.19,
ABC News (AU),2014,9,09-Sep,Gesundheit,140,8.0,7.58,
ABC News (AU),2014,9,09-Sep,Kriminalität,514,8.0,8.08,
ABC News (AU),2014,9,09-Sep,Politik,382,8.0,7.89,
ABC News (AU),2014,9,09-Sep,Sonstiges,4339,7.0,6.69,
ABC News (AU),2014,9,09-Sep,Sport,231,8.0,7.77,
ABC News (AU),2014,9,09-Sep,Umwelt,178,7.0,6.92,
ABC News (AU),2014,9,09-Sep,Welt,238,7.0,7.09,
ABC News (AU),2014,9,09-Sep,Wirtschaft,321,8.0,7.64,
ABC News (AU),2014,10,10-Oct,Gesellschaft,161,8.0,7.75,
ABC News (AU),2014,10,10-Oct,Gesundheit,286,8.0,7.47,
ABC News (AU),2014,10,10-Oct,Kriminalität,583,8.0,8.04,
ABC News (AU),2014,10,10-Oct,Politik,391,8.0,7.92,
ABC News (AU),2014,10,10-Oct,Sonstiges,4881,7.0,6.82,
ABC News (AU),2014,10,10-Oct,Sport,141,8.0,7.99,
ABC News (AU),2014,10,10-Oct,Umwelt,203,7.0,7.11,
ABC News (AU),2014,10,10-Oct,Welt,230,8.0,7.61,
ABC News (AU),2014,10,10-Oct,Wirtschaft,334,8.0,7.53,
ABC News (AU),2014,11,11-Nov,Gesellschaft,157,8.0,7.61,
ABC News (AU),2014,11,11-Nov,Gesundheit,140,8.0,7.51,
ABC News (AU),2014,11,11-Nov,Kriminalität,522,8.0,8.07,
ABC News (AU),2014,11,11-Nov,Politik,356,8.0,7.93,
ABC News (AU),2014,11,11-Nov,Sonstiges,4430,7.0,6.82,
ABC News (AU),2014,11,11-Nov,Sport,109,8.0,8.13,
ABC News (AU),2014,11,11-Nov,Umwelt,230,8.0,7.42,
ABC News (AU),2014,11,11-Nov,Welt,234,8.0,7.63,
ABC News (AU),2014,11,11-Nov,Wirtschaft,375,8.0,7.73,
ABC News (AU),2014,12,12-Dec,Gesellschaft,113,8.0,7.83,
ABC News (AU),2014,12,12-Dec,Gesundheit,113,8.0,7.57,
ABC News (AU),2014,12,12-Dec,Kriminalität,507,8.0,8.15,
ABC News (AU),2014,12,12-Dec,Politik,310,8.0,7.86,
ABC News (AU),2014,12,12-Dec,Sonstiges,3935,7.0,7.0,
ABC News (AU),2014,12,12-Dec,Sport,88,9.0,9.08,
ABC News (AU),2014,12,12-Dec,Umwelt,198,7.0,7.26,
ABC News (AU),2014,12,12-Dec,Welt,141,8.0,7.43,
ABC News (AU),2014,12,12-Dec,Wirtschaft,270,8.0,7.67,
ABC News (AU),2015,1,01-Jan,Gesellschaft,57,8.0,7.49,
ABC News (AU),2015,1,01-Jan,Gesundheit,57,9.0,8.32,
ABC News (AU),2015,1,01-Jan,Kriminalität,287,8.0,8.23,
ABC News (AU),2015,1,01-Jan,Politik,239,8.0,7.63,
ABC News (AU),2015,1,01-Jan,Sonstiges,2314,7.0,7.07,
ABC News (AU),2015,1,01-Jan,Sport,51,8.0,8.53,
ABC News (AU),2015,1,01-Jan,Umwelt,94,7.0,7.04,
ABC News (AU),2015,1,01-Jan,Welt,111,8.0,7.22,
ABC News (AU),2015,1,01-Jan,Wirtschaft,127,8.0,7.76,
ABC News (AU),2015,2,02-Feb,Gesellschaft,119,8.0,7.92,
ABC News (AU),2015,2,02-Feb,Gesundheit,142,8.0,7.45,
ABC News (AU),2015,2,02-Feb,Kriminalität,483,8.0,8.22,
ABC News (AU),2015,2,02-Feb,Politik,420,8.0,7.89,
ABC News (AU),2015,2,02-Feb,Sonstiges,4054,7.0,7.11,
ABC News (AU),2015,2,02-Feb,Sport,215,8.0,8.07,
ABC News (AU),2015,2,02-Feb,Umwelt,192,7.0,7.3,
ABC News (AU),2015,2,02-Feb,Welt,188,8.0,7.22,
ABC News (AU),2015,2,02-Feb,Wirtschaft,264,8.0,7.67,
ABC News (AU),2015,3,03-Mar,Gesellschaft,179,8.0,7.73,
ABC News (AU),2015,3,03-Mar,Gesundheit,193,8.0,7.6,
ABC News (AU),2015,3,03-Mar,Kriminalität,579,8.0,8.26,
ABC News (AU),2015,3,03-Mar,Politik,502,8.0,7.77,
ABC News (AU),2015,3,03-Mar,Sonstiges,4567,7.0,7.11,
ABC News (AU),2015,3,03-Mar,Sport,275,8.0,7.85,
ABC News (AU),2015,3,03-Mar,Umwelt,221,7.0,7.12,
ABC News (AU),2015,3,03-Mar,Welt,205,8.0,7.64,
ABC News (AU),2015,3,03-Mar,Wirtschaft,290,8.0,7.67,
ABC News (AU),2015,4,04-Apr,Gesellschaft,134,8.0,7.82,
ABC News (AU),2015,4,04-Apr,Gesundheit,170,8.0,7.71,
ABC News (AU),2015,4,04-Apr,Kriminalität,552,9.0,8.36,
ABC News (AU),2015,4,04-Apr,Politik,300,8.0,8.0,
ABC News (AU),2015,4,04-Apr,Sonstiges,4321,7.0,7.14,
ABC News (AU),2015,4,04-Apr,Sport,203,8.0,7.97,
ABC News (AU),2015,4,04-Apr,Umwelt,193,8.0,7.49,
ABC News (AU),2015,4,04-Apr,Welt,205,8.0,7.45,
ABC News (AU),2015,4,04-Apr,Wirtschaft,344,8.0,7.71,
ABC News (AU),2015,5,05-May,Gesellschaft,147,8.0,7.84,
ABC News (AU),2015,5,05-May,Gesundheit,152,8.0,7.96,
ABC News (AU),2015,5,05-May,Kriminalität,544,9.0,8.39,
ABC News (AU),2015,5,05-May,Politik,398,8.0,8.16,
ABC News (AU),2015,5,05-May,Sonstiges,4353,8.0,7.36,
ABC News (AU),2015,5,05-May,Sport,234,8.0,8.05,
ABC News (AU),2015,5,05-May,Umwelt,228,8.0,7.31,
ABC News (AU),2015,5,05-May,Welt,163,8.0,7.22,
ABC News (AU),2015,5,05-May,Wirtschaft,542,8.0,7.42,
ABC News (AU),2015,6,06-Jun,Gesellschaft,160,8.0,7.83,
ABC News (AU),2015,6,06-Jun,Gesundheit,161,8.0,8.21,
ABC News (AU),2015,6,06-Jun,Kriminalität,552,8.0,8.3,
ABC News (AU),2015,6,06-Jun,Politik,378,8.0,8.16,
ABC News (AU),2015,6,06-Jun,Sonstiges,4462,8.0,7.4,
ABC News (AU),2015,6,06-Jun,Sport,252,8.0,7.79,
ABC News (AU),2015,6,06-Jun,Umwelt,193,8.0,7.41,
ABC News (AU),2015,6,06-Jun,Welt,198,8.0,7.61,
ABC News (AU),2015,6,06-Jun,Wirtschaft,394,8.0,7.65,
ABC News (AU),2015,7,07-Jul,Gesellschaft,190,8.0,7.95,
ABC News (AU),2015,7,07-Jul,Gesundheit,166,8.0,7.86,
ABC News (AU),2015,7,07-Jul,Kriminalität,641,9.0,8.48,
ABC News (AU),2015,7,07-Jul,Politik,356,8.0,8.24,
ABC News (AU),2015,7,07-Jul,Sonstiges,4822,8.0,7.36,
ABC News (AU),2015,7,07-Jul,Sport,214,8.0,7.99,
ABC News (AU),2015,7,07-Jul,Umwelt,183,8.0,7.52,
